No,Business Name,Country,Industry,Website,WhatsApp Available,WhatsApp Number,Facebook Page,Instagram Page,Email
194,Verbit,Israel,Technology / AI,https://verbit.ai,No,Not Found,Not Found,Not Found,Not Found
195,Lightricks,Israel,Technology / Photo,https://www.lightricks.com,No,Not Found,https://www.facebook.com/Lightricks,https://www.instagram.com/lightricks,Not Found
196,Jolt (Zest Education),Israel,Education / Tech,https://www.jolt.io,No,Not Found,Not Found,Not Found,Not Found
197,AllTrades (Janglo),Israel,Services / Directory,https://www.janglo.net,No,Not Found,https://www.facebook.com/janglo,https://www.instagram.com/jaborotanglo,Not Found
198,Secret Tel Aviv,Israel,Media / Lifestyle,https://www.secrettelaviv.com,No,Not Found,https://www.facebook.com/SecretTelAviv,https://www.instagram.com/secrettelaviv,Not Found
199,Time Out Israel,Israel,Media / Lifestyle,https://www.timeout.com/israel,No,Not Found,https://www.facebook.com/TimeOutIsrael,https://www.instagram.com/timeoutisrael,Not Found
200,Wolt Israel,Israel,Food Delivery / Tech,https://wolt.com/en/isr,No,Not Found,https://www.facebook.com/WoltIsrael,https://www.instagram.com/wolt_israel,Not Found
201,10bis (Wolt),Israel,Food Delivery / Tech,https://www.10bis.co.il,No,Not Found,https://www.facebook.com/10bis,Not Found,Not Found
202,Yango Israel,Israel,Transportation / Tech,https://yango.yandex.com/il,No,Not Found,Not Found,Not Found,Not Found
203,Via Transportation,Israel,Transportation / Tech,https://ridewithvia.com,No,Not Found,https://www.facebook.com/ridewithvia,https://www.instagram.com/ridewithvia,Not Found
204,Latet (Israeli Humanitarian Aid),Israel,Nonprofit,https://www.latet.org.il,No,Not Found,https://www.facebook.com/latetNGO,https://www.instagram.com/latet_ngo,Not Found
205,Amazon,United States,E-commerce / Technology,https://www.amazon.com,No,Not Found,https://www.facebook.com/Amazon,https://www.instagram.com/amazon,Not Found
206,Nike,United States,Fashion / Sports,https://www.nike.com,No,Not Found,https://www.facebook.com/nike,https://www.instagram.com/nike,Not Found
207,Adidas,Germany,Fashion / Sports,https://www.adidas.com,No,Not Found,https://www.facebook.com/adidas,https://www.instagram.com/adidas,Not Found
208,Starbucks,United States,Restaurant / Cafe,https://www.starbucks.com,No,Not Found,https://www.facebook.com/Starbucks,https://www.instagram.com/starbucks,info@support.starbucks.com
209,Booking.com,Netherlands,Travel / Hospitality,https://www.booking.com,No,Not Found,https://www.facebook.com/booking,https://www.instagram.com/bookingcom,Not Found
210,Airbnb,United States,Travel / Hospitality,https://www.airbnb.com,No,Not Found,https://www.facebook.com/airbnb,https://www.instagram.com/airbnb,Not Found
211,Uber,United States,Transportation / Tech,https://www.uber.com,No,Not Found,https://www.facebook.com/uber,https://www.instagram.com/uber,Not Found
212,Samsung,South Korea,Technology / Electronics,https://www.samsung.com,Yes,Not Found,https://www.facebook.com/Samsung,https://www.instagram.com/samsung,Not Found
213,Apple,United States,Technology / Electronics,https://www.apple.com,No,Not Found,https://www.facebook.com/apple,https://www.instagram.com/apple,Not Found
214,Google,United States,Technology,https://www.google.com,No,Not Found,https://www.facebook.com/Google,https://www.instagram.com/google,Not Found
215,Microsoft,United States,Technology,https://www.microsoft.com,No,Not Found,https://www.facebook.com/Microsoft,https://www.instagram.com/microsoft,Not Found
216,Netflix,United States,Entertainment / Streaming,https://www.netflix.com,No,Not Found,https://www.facebook.com/netflix,https://www.instagram.com/netflix,Not Found
217,Spotify,Sweden,Entertainment / Music,https://www.spotify.com,No,Not Found,https://www.facebook.com/Spotify,https://www.instagram.com/spotify,Not Found
218,ZARA,Spain,Fashion / Retail,https://www.zara.com,No,Not Found,https://www.facebook.com/Zara,https://www.instagram.com/zara,customerservice.usa@zara.com
219,SHEIN,China,Fashion / E-commerce,https://www.shein.com,No,Not Found,https://www.facebook.com/SHEIN,https://www.instagram.com/shaborotinofficial,Not Found
220,Alibaba,China,E-commerce / Technology,https://www.alibaba.com,No,Not Found,https://www.facebook.com/alibaba,https://www.instagram.com/alibabagroup,Not Found
221,AliExpress,China,E-commerce,https://www.aliexpress.com,No,Not Found,https://www.facebook.com/AliExpress,https://www.instagram.com/aliexpress,Not Found
222,ASOS,United Kingdom,Fashion / E-commerce,https://www.asos.com,No,Not Found,https://www.facebook.com/ASOS,https://www.instagram.com/asos,Not Found
223,Revolut,United Kingdom,Fintech,https://www.revolut.com,No,Not Found,https://www.facebook.com/revolutapp,https://www.instagram.com/revolutapp,Not Found
224,Shopify,Canada,Technology / E-commerce,https://www.shopify.com,No,Not Found,https://www.facebook.com/shopify,https://www.instagram.com/shopify,Not Found
225,Canva,Australia,Technology / Design,https://www.canva.com,No,Not Found,https://www.facebook.com/canva,https://www.instagram.com/canva,Not Found
226,Slack,United States,Technology / Communication,https://slack.com,No,Not Found,https://www.facebook.com/slackhq,https://www.instagram.com/slackhq,Not Found
227,Zoom,United States,Technology / Communication,https://zoom.us,No,Not Found,https://www.facebook.com/zoom,https://www.instagram.com/zoom,Not Found
228,HubSpot,United States,Technology / CRM,https://www.hubspot.com,No,Not Found,https://www.facebook.com/hubspot,https://www.instagram.com/hubspot,Not Found
229,Notion,United States,Technology / Productivity,https://www.notion.so,No,Not Found,https://www.facebook.com/NotionHQ,https://www.instagram.com/notionhq,Not Found
230,Stripe,United States,Fintech,https://stripe.com,No,Not Found,https://www.facebook.com/StripeHQ,Not Found,Not Found
231,PayPal,United States,Fintech,https://www.paypal.com,No,Not Found,https://www.facebook.com/PayPal,https://www.instagram.com/paypal,Not Found
232,Wise (TransferWise),United Kingdom,Fintech,https://wise.com,No,Not Found,https://www.facebook.com/wise,https://www.instagram.com/wiseaccount,Not Found
233,Twilio,United States,Technology / Communication,https://www.twilio.com,No,Not Found,https://www.facebook.com/TeamTwilio,Not Found,Not Found
234,Mailchimp,United States,Technology / Marketing,https://mailchimp.com,No,Not Found,https://www.facebook.com/mailchimp,https://www.instagram.com/mailchimp,Not Found
235,Calendly,United States,Technology / Scheduling,https://calendly.com,No,Not Found,https://www.facebook.com/calendly,https://www.instagram.com/calendly,Not Found
236,Figma,United States,Technology / Design,https://www.figma.com,No,Not Found,https://www.facebook.com/figmadesign,https://www.instagram.com/figma,Not Found
237,Intercom,United States,Technology / Customer Support,https://www.intercom.com,No,Not Found,https://www.facebook.com/intercominc,Not Found,Not Found
238,Zendesk,United States,Technology / Customer Support,https://www.zendesk.com,No,Not Found,https://www.facebook.com/zendesk,https://www.instagram.com/zendesk,Not Found
239,Lululemon,Canada,Fashion / Sports,https://www.lululemon.com,No,Not Found,https://www.facebook.com/lululemon,https://www.instagram.com/lululemon,Not Found
240,Sephora,France,Beauty / Retail,https://www.sephora.com,No,Not Found,https://www.facebook.com/sephora,https://www.instagram.com/sephora,Not Found
241,L'Oreal,France,Beauty / Cosmetics,https://www.loreal.com,No,Not Found,https://www.facebook.com/loreal,https://www.instagram.com/loreal,Not Found
242,Unilever,United Kingdom,Consumer Goods,https://www.unilever.com,No,Not Found,https://www.facebook.com/unilever,Not Found,Not Found
243,Procter & Gamble,United States,Consumer Goods,https://www.pg.com,No,Not Found,https://www.facebook.com/proctergamble,https://www.instagram.com/proctergamble,Not Found
244,Toyota,Japan,Automotive,https://www.toyota.com,No,Not Found,https://www.facebook.com/toyota,https://www.instagram.com/toyota,Not Found
245,BMW,Germany,Automotive,https://www.bmw.com,No,Not Found,https://www.facebook.com/BMW,https://www.instagram.com/bmw,Not Found
246,Mercedes-Benz,Germany,Automotive,https://www.mercedes-benz.com,Yes,Not Found,https://www.facebook.com/MercedesBenz,https://www.instagram.com/mercedesbenz,Not Found
247,HSBC,United Kingdom,Banking,https://www.hsbc.com,Yes,Not Found,https://www.facebook.com/hsbc,Not Found,Not Found
248,Emirates Airlines,UAE,Travel / Airlines,https://www.emirates.com,Yes,Not Found,https://www.facebook.com/Emirates,https://www.instagram.com/emirates,Not Found
249,Etihad Airways,UAE,Travel / Airlines,https://www.etihad.com,Yes,Not Found,https://www.facebook.com/etihad,https://www.instagram.com/etihad,Not Found
250,Turkish Airlines,Turkey,Travel / Airlines,https://www.turkishairlines.com,Yes,Not Found,https://www.facebook.com/TurkishAirlines,https://www.instagram.com/turkishairlines,Not Found
